nbdates	date	aot_440_daily	angstrom440_870
20	2013-04-03	0.1113725500	0.2444720500
12	2013-04-05	0.0756629167	0.1033477500
21	2013-04-06	0.0497915238	-0.0137688571
13	2013-04-08	0.0526624615	-0.1359466154
17	2013-04-09	0.0585029412	-0.0381958235
27	2013-04-10	0.0639556667	0.2651231111
25	2013-04-11	0.0487908400	0.2186500400
33	2013-04-12	0.0341020606	0.1508054545
12	2013-04-13	0.0636148333	0.0812328333
33	2013-04-14	0.0563686970	0.0690881515
33	2013-04-15	0.0660541212	0.1420990909
12	2013-04-22	0.2087071667	0.3470235000
13	2013-04-23	0.1337478462	0.3671021538
17	2013-04-26	0.0974645882	0.6094368824
29	2013-04-27	0.0356424138	0.6249683793
24	2013-04-29	0.0696280417	0.4982508333
22	2013-05-04	0.2592628182	0.1881833636
33	2013-05-06	0.2407137879	0.5165584242
40	2013-05-07	0.1787391000	0.4944047250
58	2013-05-08	0.1489533103	0.4703363276
26	2013-05-09	0.1818848462	0.3117518846
17	2013-05-11	0.1977767647	0.1962947647
18	2013-05-12	0.1891363889	0.2943413889
16	2013-05-13	0.1540445000	0.2570380000
42	2013-05-16	0.1440744762	0.3104681905
15	2013-05-17	0.1480890667	0.4146038667
16	2013-05-23	0.1292968125	0.2832433125
14	2013-05-26	0.1310035000	0.2896961429
18	2013-05-29	0.2805656667	0.1909717778
20	2013-05-30	0.3783057500	0.0969061000
21	2013-05-31	0.3813623333	0.1096596190
29	2013-06-01	0.2912736207	0.1432433793
30	2013-06-02	0.2874916000	0.1381849333
24	2013-06-04	0.7649556667	0.0649950417
31	2013-06-06	0.1937340645	0.1985023548
14	2013-06-15	0.6754598571	0.0537067143
13	2013-06-16	0.6464968462	0.0877046154
20	2013-06-20	0.4617183500	0.1181958500
21	2013-06-21	0.1012673810	0.3773237619
25	2013-06-22	0.1373722000	0.2021275200
16	2013-06-23	0.2392828750	0.1137594375
22	2013-06-24	0.1918264545	0.1399436364
20	2013-06-27	0.3893632000	0.0948169500
21	2013-06-28	0.3497958095	0.1488877143
12	2013-07-02	0.1205088333	0.3283739167
25	2013-07-03	0.1108397600	0.2469730400
23	2013-07-04	0.4083523913	0.1659667826
13	2013-07-05	0.3062229231	0.2243923077
40	2013-07-06	0.1542874250	0.2602638500
13	2013-07-08	0.3413442308	0.1248010000
16	2013-07-10	0.5742135000	0.1250631250
30	2013-07-11	0.4786106000	0.1719884667
20	2013-07-12	0.3551513500	0.2675399500
22	2013-07-13	0.1947492273	0.3100439545
25	2013-07-14	0.1098358800	0.2901597200
20	2013-07-18	0.3977146500	0.1055523000
22	2013-07-19	0.3224055455	0.1106720455
18	2013-07-20	0.1967698333	0.1793048889
13	2013-07-23	0.4574896154	0.1979479231
23	2013-07-24	0.4271945652	0.2199164348
13	2013-09-07	0.4045694615	0.2290566923
15	2013-09-08	0.5619813333	0.0854539333
28	2013-09-09	0.2970703214	0.2503095714
18	2013-09-10	0.0772317222	0.4790118333
34	2013-09-14	0.0812960294	0.3843761176
21	2013-09-15	0.1454218571	0.1039712857
33	2013-09-20	0.1509092424	0.2431547273
22	2013-09-30	0.3458520909	0.1868276818
18	2013-10-01	0.2351162222	0.2062865556
30	2013-10-02	0.0533403000	0.3663437667
17	2013-10-03	0.1046975882	0.1463744706
38	2013-10-04	0.0473883684	0.2793423421
28	2013-10-11	0.0334106786	0.3482803929
30	2013-10-12	0.0378820667	0.2611772000
21	2013-10-13	0.2336016190	0.0482774762
27	2013-10-14	0.1144307037	0.0905957778
35	2013-10-15	0.0563434571	0.1719438286
22	2013-10-16	0.0595259091	0.2034189091
32	2013-10-17	0.0376475625	0.3792735938
24	2013-10-18	0.0636869167	0.5826603750
12	2013-10-19	0.0539320833	0.3315838333
12	2013-10-24	0.1837306667	0.0810653333
22	2013-10-25	0.2121285455	0.0943969091
20	2013-10-27	0.0887567000	0.0751065000
38	2013-10-29	0.1736346579	0.0933176053
33	2013-11-05	0.0417273636	0.1207690000
23	2013-11-06	0.0334495217	0.2566696522
53	2013-11-08	0.0351478113	0.5278125094
36	2013-11-09	0.0454566111	0.2275367500
28	2013-11-10	0.1548340357	0.2359695000
16	2013-11-12	0.1088935625	-0.0146312500
