date	avg(pm10)
2004-11-19	17.7916667
2004-11-20	10.2083333
2004-11-21	8.8333333
2004-11-22	13.0000000
2004-11-23	20.5000000
2004-11-24	27.3333333
2004-11-25	26.5416667
2004-11-26	18.4583333
2004-11-27	15.8333333
2004-11-28	18.9583333
2004-11-29	20.3750000
2004-11-30	28.5416667
2004-12-01	27.0000000
2004-12-02	24.3750000
2004-12-03	22.4166667
2004-12-04	16.8333333
2004-12-05	14.7500000
2004-12-06	13.2916667
2004-12-07	12.8750000
2004-12-08	15.2916667
2004-12-09	16.6666667
2004-12-10	22.5416667
2004-12-11	20.3333333
2004-12-12	18.7500000
2004-12-13	20.6666667
2004-12-14	20.8750000
2004-12-15	19.1666667
2004-12-16	19.5000000
2004-12-17	27.8750000
2004-12-18	19.1666667
2004-12-19	30.0416667
2004-12-20	13.9166667
2004-12-21	14.7916667
2004-12-22	18.4166667
2004-12-23	11.1250000
2004-12-24	19.3333333
2004-12-25	25.4583333
2004-12-26	19.0833333
2004-12-27	17.4166667
2004-12-28	16.8333333
2004-12-29	15.6666667
2004-12-30	19.6666667
2004-12-31	12.2916667
2005-01-01	28.1666667
2005-01-02	14.0416667
2005-01-03	37.4166667
2005-01-04	14.7083333
2005-01-05	8.3333333
2005-01-06	20.1666667
2005-01-07	50.3750000
2005-01-08	46.1666667
2005-01-09	35.5833333
2005-01-10	20.4583333
2005-01-11	39.7916667
2005-01-12	30.5000000
2005-01-13	52.5000000
2005-01-14	68.0416667
2005-01-15	98.1250000
2005-01-16	70.0000000
2005-01-17	58.5833333
2005-01-18	67.2916667
2005-01-19	15.9583333
2005-01-20	21.9583333
2005-01-21	26.7916667
2005-01-22	14.9166667
2005-01-23	11.3750000
2005-01-24	10.6666667
2005-01-25	12.6666667
2005-01-26	20.4166667
2005-01-27	22.9583333
2005-01-28	41.2916667
2005-01-29	27.1250000
2005-01-30	15.2916667
2005-01-31	17.4166667
2005-02-01	20.5833333
2005-02-02	23.1250000
2005-02-03	13.1250000
2005-02-04	16.9166667
2005-02-05	29.3750000
2005-02-06	65.5000000
2005-02-07	47.5000000
2005-02-08	11.0416667
2005-02-09	16.3750000
2005-02-10	9.1250000
2005-02-11	19.5833333
2005-02-12	21.7916667
2005-02-13	17.2916667
2005-02-14	22.2916667
2005-02-15	21.7916667
2005-02-16	72.5416667
2005-02-17	43.2083333
2005-02-18	11.4166667
2005-02-19	13.7916667
2005-02-20	18.2916667
2005-02-21	16.6666667
2005-02-22	16.5833333
2005-02-23	15.7083333
2005-02-24	17.2500000
2005-02-25	26.3750000
2005-02-26	16.6250000
2005-02-27	17.2083333
2005-02-28	21.7916667
