"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"247",1991-05-27,907,1878,0.83,2787.12,311.77,467.02,"28,33","2,89",3
"248",1991-05-28,1041,2816,0.86,3859.92,576.53,772.8,"32","2,83",2
"249",1991-05-29,961,2148,0.78,3111.33,94.74,134.17,"27",NA,1
"250",1991-05-30,921,3280,0.6,4202.18,736.56,987.83,"19,82","4,87",11
"251",1991-05-31,641,1133,20.12,1788.78,413.87,614.23,"30",NA,1
"252",1991-06-20,673,2282,0.52,2957.62,597.88,791.24,"33,5","0,71",2
"253",1991-06-21,706,1607,0.51,2315.42,1368.97,1599.95,"31,5","0,71",2
"254",1991-06-23,1096,2596,0.73,3696.56,486.97,656.35,"35","5,22",9
"255",1991-06-24,319,2224,0,2547,1018.41,1255.45,"56",NA,1
"256",1991-06-25,737,2925,0.71,3665.5,0,0,"48","9,9",2
"257",1991-06-26,646,1485,0.71,2133.5,1274.26,1551.65,"33","7,07",2
"258",1991-06-27,760,1310,0.49,2072.71,956.24,1178.94,"30","1,41",2
"259",1991-06-28,613,667,0,1282,1594.19,1825.31,"32",NA,1
"260",1991-06-29,462,332,0.53,795.44,2373.43,2581.48,"42,18","5,64",11
"261",1991-06-30,651,1134,0.52,1787.45,2714.18,2961.84,"19",NA,1
"262",1991-07-18,545,524,0.52,1071.4,1724.96,1923.62,"29",NA,1
"263",1991-07-19,770,1606,0.63,2380.2,1483.54,1695.32,"29","2,83",2
"264",1991-07-20,1137,2260,0.45,3401.2,403.26,532.57,"41","5,66",2
"265",1991-07-21,961,3349,0,4313,1076.36,1315.24,"35","4,24",2
"266",1991-07-22,782,1933,0.67,2717.78,672.76,930.66,"36",NA,1
"267",1991-07-23,604,390,0,998,2258.28,2466.71,"37,4","7",10
"268",1991-07-24,446,1142,0.82,1592,1455.9,1720.14,"79",NA,1
"269",1991-07-25,602,1388,0.71,1994.5,0,0,"65",NA,1
"270",1991-07-27,856,3449,0.53,4307.56,602.79,859.84,"21",NA,1
"271",1991-07-28,471,171,0,645,1256.62,1443.64,"17",NA,1
"272",1991-07-29,627,2066,0.41,2695.83,813.76,1052.3,"24","2,83",2
"273",1991-07-31,605,2752,0.65,3359.27,480.33,646.95,"41",NA,1
