date,aot1020
2010-07-14,0.3505726316
2010-07-15,0.2013669286
2010-07-16,0.2465382000
2010-07-18,2.7655880000
2010-07-19,0.3976560000
2010-07-23,0.1536188889
2010-07-24,0.2193483571
2010-07-25,0.2382305333
2010-07-26,0.1610064118
2010-07-27,0.0340540741
2010-07-28,0.3769820000
2010-07-29,0.2959155000
2010-07-30,0.7179051667
2010-07-31,0.1702737692
2010-08-01,0.0629334545
2010-08-02,0.0972470000
2010-08-03,0.2089912500
2010-08-04,0.1481682000
2010-08-05,0.2065552727
2010-08-06,0.3512095333
2010-08-07,0.0836080000
2010-08-08,0.0416794375
2010-08-09,0.0408926667
2010-08-10,0.0597518750
2010-08-11,0.0169300000
2010-08-12,0.1295881538
2010-08-13,0.0521664211
2010-08-14,0.0331018378
2010-08-15,0.0299254000
2010-08-16,1.3500751429
2010-08-17,0.3097229200
2010-08-18,0.4601211667
2010-08-19,0.3513097000
2010-08-20,0.1294430714
2010-08-31,0.2702234286
2010-09-01,0.8743903333
2010-09-02,0.2502423333
2010-09-03,0.4190184839
2010-09-04,0.2014839545
2010-09-05,0.0490776667
2010-09-06,0.0365367857
2010-09-07,0.1598394545
2010-09-09,0.0566060000
2010-09-10,0.6783780000
2010-09-12,0.0483795625
2010-09-13,0.0330773333
2010-09-14,0.0088283684
2010-09-15,0.0928366364
2010-09-16,0.5761962143
2010-09-17,0.9776473810
2010-09-18,0.3551625556
2010-09-19,0.0340865385
2010-09-20,0.0550072000
2010-09-21,0.5761293529
2010-09-22,0.1735765455
2010-09-23,0.0775873636
2010-09-24,0.0635663846
2010-09-26,0.3569315000
2010-09-27,0.0046878519
2010-09-28,0.0603885000
2010-09-29,0.1434230000
2010-09-30,0.7382190000
2010-10-01,1.3731200000
2010-10-02,0.1562978000
2010-10-03,1.4987713333
2010-10-10,0.1199756842
2010-10-11,0.0900833800
2010-10-12,0.0583173000
2010-10-13,0.0404355227
2010-10-14,0.0347026071
2010-10-15,0.0520581176
2010-10-16,0.0467393409
2010-10-17,0.0443530909
2010-10-18,0.5763590000
2010-10-19,0.0300749608
2010-10-20,0.0195005102
2010-10-21,0.0126320313
2010-10-22,0.0241806471
2010-10-23,0.0344303750
2010-10-24,0.0548675217
2010-10-25,0.0572065385
2010-10-26,0.0555061176
2010-10-27,0.0293957143
2010-10-28,0.0024103529
2010-10-30,3.3574220000
2010-11-05,0.0963464667
2010-11-07,0.0330560000
2010-11-08,0.0476665000
2010-11-16,0.0366603750
2010-11-19,0.2878180000
2010-11-20,0.1036654194
2010-11-21,0.0067615000
2010-11-22,0.0619035000
2010-11-24,0.0699038000
2010-11-25,0.0608630000
2010-11-26,0.0214439355
2010-11-27,0.1589866667
2010-11-28,0.0844662500
2010-11-29,0.0377361053
2010-11-30,0.0303492143
2010-12-01,0.0121480278
2010-12-02,0.0651230000
2010-12-03,0.0235544074
2010-12-04,0.0147515000
2010-12-05,0.0057622500
2010-12-08,0.0498412727
2010-12-09,0.0873241333
2010-12-10,0.0711737037
2010-12-11,0.0254700000
2010-12-12,0.0418385000
2010-12-13,0.0094691176
2010-12-14,0.0353246250
2010-12-15,0.0989489412
2010-12-16,0.0557900000
2010-12-17,0.0557181500
2010-12-18,0.1063755000
2010-12-19,0.0483592903
2010-12-20,0.0417526364
2010-12-21,0.0251931333
2010-12-22,0.0604710000
2010-12-24,0.0581794000
2010-12-26,0.1616005000
2010-12-27,0.0872686957
2010-12-28,0.0589150000
2010-12-29,0.0310362353
2010-12-30,0.0235225000
2011-01-01,0.0443735000
2011-01-02,0.0728394444
2011-01-06,0.0814741818
2011-01-11,0.0995669167
2011-01-12,0.1630077500
2011-01-14,0.0736252105
2011-01-15,0.0523977500
2011-01-16,0.0432924857
2011-01-17,0.0558737778
2011-01-18,0.0648398824
2011-01-19,0.0291908333
2011-01-20,0.0600220000
2011-01-21,0.0561393243
2011-01-22,0.0675246087
2011-01-23,0.0619022222
2011-01-24,0.0290576667
2011-01-25,0.0565454444
2011-01-26,0.0712100000
2011-01-27,0.0397450625
2011-01-28,0.0445376226
2011-01-29,0.0353810000
2011-01-30,0.0295120313
2011-01-31,0.0273971538
2011-02-01,0.0287790345
2011-02-02,0.0179553333
2011-02-05,0.1048041290
2011-02-07,0.0897566190
2011-02-08,0.0624835000
2011-02-09,0.0792605000
2011-02-10,0.0560905000
2011-10-21,0.0327220000
2012-01-01,0.0959080909
2012-01-02,0.1128167778
2012-01-03,0.1159286500
2012-01-04,0.0739731892
2012-01-05,0.0561477083
2012-01-06,0.0511112549
2012-01-07,0.0491925263
2012-01-08,0.0639102857
2012-01-09,0.0600639167
2012-01-10,0.0433379630
2012-01-11,0.0344884444
2012-01-12,0.0383834615
2012-01-13,0.0756400000
2012-01-14,0.0701841250
2012-01-15,0.0586297143
2012-01-16,0.0621101739
2012-01-17,0.0542958333
2012-01-18,0.0403099302
2012-01-19,0.0516823778
2012-01-20,0.0658887500
2012-01-21,0.0510098438
2012-01-22,0.0461592632
2012-01-23,0.0287258378
2012-01-25,0.0200306809
2012-01-26,0.0372245862
2012-01-27,0.0471425000
2012-01-28,0.0533953636
2012-01-29,0.0654546364
2012-01-30,0.0534936667
2012-01-31,0.0756120000
2012-02-01,0.0880770000
2012-02-02,0.0766824545
2012-02-03,0.1129060000
2012-02-04,0.0664435417
2012-02-05,0.0580940625
2012-02-06,0.0627570465
2012-02-07,0.0858220000
2012-02-08,0.0990527000
2012-02-09,0.0638640370
2012-02-10,0.3276770000
2012-02-12,0.0531856970
2012-02-13,0.0293606000
2012-02-14,0.0321425577
2012-02-15,0.0694279286
2012-02-16,0.0618874839
