nbdates	date	aot_440_daily	angstrom440_870	angstrom440_675
20	2011-10-14	0.2044172500	0.2061990000	0.2852982000
28	2011-10-15	0.2013566071	0.1657862143	0.2633724286
14	2011-10-18	0.2518517143	0.0836407857	0.1802600000
18	2011-10-19	0.3500013889	0.1175331111	0.1808802222
19	2011-10-20	0.3780468947	0.1099322105	0.1762620526
30	2011-10-22	0.0968309667	0.3668853667	0.6663621333
34	2011-10-23	0.0567329706	0.4112727941	0.9052218235
24	2011-10-25	0.0551251667	0.5679178750	0.9786103333
36	2011-10-26	0.0823261111	0.2697656111	0.5184008611
31	2011-10-27	0.0954444516	0.2324333871	0.4272133548
24	2011-10-28	0.0831202917	0.2462292917	0.4822975000
32	2011-10-29	0.0797301250	0.2540087500	0.5357396563
21	2011-11-02	0.2205608571	0.1501982857	0.2463458095
16	2011-11-03	0.3553469375	0.0941881250	0.1373272500
18	2011-11-07	0.2094282222	0.1092972778	0.2257209444
14	2011-11-08	0.1134992143	0.1804385714	0.3691331429
20	2011-11-09	0.2081816500	0.1076288000	0.2284211000
30	2011-11-14	0.0866271333	0.3492262000	0.5789873667
30	2011-11-15	0.0560279667	0.3726347667	0.7155404000
16	2011-11-17	0.0826917500	0.1356136250	0.3391596250
17	2011-11-18	0.0774618235	0.2888587059	0.5105316471
22	2011-11-19	0.0562466364	0.4766138636	0.8390955455
22	2011-11-20	0.0469587727	0.6300828182	1.0804136818
18	2011-11-21	0.0449342778	0.7721076667	1.3068095000
17	2011-11-25	0.1313011176	0.2997502941	0.4860158235
12	2011-12-04	0.1117935000	0.1993955833	0.3601375833
14	2011-12-05	0.0926866429	0.7667430714	1.0599885000
40	2011-12-09	0.0607455500	0.9599101000	1.3997931000
14	2011-12-10	0.0754186429	0.7410661429	1.0721195000
24	2011-12-11	0.0987471667	0.5427287917	0.7957449167
17	2011-12-12	0.1400930588	0.5313222353	0.7190584118
29	2011-12-13	0.1885235862	0.3575869310	0.4870587241
25	2011-12-14	0.2061367600	0.3625381600	0.4748176800
41	2011-12-15	0.1333878049	0.5578811220	0.7363317073
30	2011-12-16	0.1151527000	1.2602952000	1.4008730667
50	2011-12-18	0.0480294200	0.4651880000	0.7826990200
26	2011-12-19	0.0782436923	0.3697514615	0.6174980385
24	2011-12-24	0.0965255000	0.2181755000	0.4166352917
38	2011-12-25	0.0580760526	0.4681304474	0.7814794474
12	2011-12-31	0.1397860000	0.0042126667	0.1054998333
13	2012-01-01	0.1151229231	0.0640712308	0.1907924615
16	2012-01-04	0.1265571250	0.0762876250	0.1942250000
22	2012-01-05	0.0972495455	0.1222240000	0.2732496818
21	2012-01-06	0.1040552381	0.1127141905	0.2740614286
22	2012-01-07	0.0840209091	0.2084238636	0.4284905909
